id,title,author,tags,lyrics,theme,updated_at,updated_by,version,歌詞連結
and-can-it-be-that-i-should-gain,奇異的愛 And Can it Be That I Should Gain,生命聖詩 178,敬拜,,midnight,,,0,
amazing-grace,奇異恩典 Amazing Grace,生命聖詩 185,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/life185.html
our-glorious-lord,榮耀的主 Our Glorious Lord,新心音樂,敬拜,,midnight,,,0,
god-s-way,神的道路 God's Way,天韻詩歌,敬拜,,midnight,,,0,
it-s-all-for-love-jesus-in-a-manger,是為了愛 [耶穌降生在馬槽] It’s All For Love [Jesus In A Manger],讚美之泉,敬拜,,midnight,,,0,聖誕詩歌
come-thou-fount,"萬福源頭 Come, Thou Fount",生命聖詩 76,敬拜,,midnight,,,0,
jesus-you-can,"唯有耶穌 Jesus, You Can",讚美之泉,敬拜,,midnight,,,0,
in-christ-alone,唯主基督 In Christ Alone,Getty Music,敬拜,,midnight,,,0,
priceless,無價至寶 Priceless,約書亞,敬拜,,midnight,,,0,
praise-of-my-heart,我心頌讚 Praise of My Heart,新心音樂,敬拜,,midnight,,,0,
jesus-jesus,"耶穌耶穌 Jesus, Jesus",讚美之泉,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c1951.html
our-eternal-lord,永恒的主 Our Eternal Lord,新心音樂,敬拜,,midnight,,,0,
living-hope,永活盼望 Living Hope,Phil Wickham,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=u-1fwZtKJSM&list=RDizOAxx2bRIc&index=2
there-is-a-god,有一位神 There Is A God,讚美之泉,敬拜,,midnight,,,0,
stream-of-praise,讚美之泉 Stream of Praise,讚美之泉,敬拜,,midnight,,,0,
beautiful-moment,美好的時刻 Beautiful Moment,新心音樂,敬拜,,midnight,,,0,
fairest-lord-jesus,美哉主耶穌 Fairest Lord Jesus,生命聖詩 65,敬拜,,midnight,,,0,
you-sit-on-the-throne,祢坐著爲王 You Sit On the Throne,靈糧堂,敬拜,,midnight,,,0,
worthy-is-the-lamb,神羔羊配得 Worthy is the Lamb,Hillsong,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c2372.html
yesterday-today-forever,"耶穌不改變 Yesterday, Today, Forever",生命聖詩 279,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/life279.html
beautiful-saviour,榮美的救主 Beautiful Saviour,約書亞,敬拜,,midnight,,,0,
